Team,OFF,ORPG,DEF,DRPG,REB,RPG
Dynamo Kursk,168,12.0,397,28.4,565,PPG
Hatay BB,176,12.6,368,26.3,544,40.4
Nadezhda,155,11.1,382,27.3,537,38.9
CCC Polkowice,172,12.3,363,25.9,535,38.4
ZVVZ USK Praha,170,12.1,363,25.9,533,38.2
Famila Schio,146,10.4,374,26.7,520,38.1
Fenerbahce,148,10.6,372,26.6,520,37.1
Uniqa Sopron,152,10.9,367,26.2,519,37.1
Bourges Basket,139,9.9,377,26.9,516,37.1
UMMC Ekaterinburg,142,10.1,363,25.9,505,36.9
ESBVA-LM,168,12.0,331,23.6,499,36.1
BLMA,116,8.3,361,25.8,477,35.6
Wisla Can-Pack,108,7.7,367,26.2,475,34.1
Mersin,116,8.3,352,25.1,468,33.9
Perfumerias Avenida,167,11.9,294,21.0,461,33.4
CMB Cargo Uni Gysr,128,9.1,307,21.9,435,32.9
