Team,PPG,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA
UMMC Ekaterinburg,85.0,1190,31.9,63.2,50.4,8.1,19.5,41.4,13.2,16.7
Dynamo Kursk,78.3,1096,31.1,66.2,47.0,4.8,13.6,35.3,11.2,14.2
ZVVZ USK Praha,73.1,1023,28.4,63.1,44.9,6.1,17.4,35.0,10.3,13.7
Famila Schio,72.3,1012,28.5,64.4,44.3,6.4,19.5,32.6,8.9,10.9
Fenerbahce,72.1,1010,28.6,60.8,47.0,5.7,15.8,36.2,9.3,12.6
Perfumerias Avenida,71.4,999,28.6,63.7,44.8,4.6,14.9,30.6,9.6,13.7
Uniqa Sopron,69.6,975,25.6,63.6,40.3,5.5,17.0,32.4,12.9,15.5
ESBVA-LM,69.2,969,26.7,67.2,39.7,6.2,21.4,29.1,9.6,12.6
Wisla Can-Pack,67.9,950,26.0,61.1,42.6,6.3,18.9,33.3,9.6,12.7
Nadezhda,66.7,934,25.2,62.0,40.7,4.8,15.4,31.0,11.5,15.1
Hatay BB,65.1,912,24.6,61.2,40.1,6.1,21.6,28.1,9.9,13.0
Bourges Basket,64.9,909,26.1,61.0,42.9,5.7,15.9,36.0,6.9,9.4
Mersin,64.7,906,23.8,56.9,41.8,4.2,15.1,28.0,12.9,15.6
BLMA,62.1,869,25.8,60.6,42.6,3.0,10.5,28.6,7.5,11.1
CCC Polkowice,61.6,863,24.9,63.7,39.0,4.4,16.1,27.0,7.6,10.8
CMB Cargo Uni Gysr,55.9,783,21.8,60.9,35.8,3.8,14.3,26.5,8.6,10.6
