Team,AST,APG,TO,TOPG,AP40M
ZVVZ USK Praha,294,PPG,208,14.9,4.2
Dynamo Kursk,293,21.0,176,12.6,4.2
UMMC Ekaterinburg,293,20.9,165,11.8,4.2
Fenerbahce,282,20.9,196,14.0,4.0
Famila Schio,270,20.1,196,14.0,3.8
Mersin,266,19.3,234,16.7,3.8
Bourges Basket,262,19.0,248,17.7,3.7
Wisla Can-Pack,262,18.7,187,13.4,3.7
BLMA,242,18.7,217,15.5,3.5
ESBVA-LM,240,17.3,219,15.6,3.4
Nadezhda,230,17.1,219,15.6,3.3
Perfumerias Avenida,229,16.4,205,14.6,3.3
Hatay BB,223,16.4,260,18.6,3.1
Uniqa Sopron,214,15.9,256,18.3,2.9
CCC Polkowice,208,15.3,232,16.6,2.9
CMB Cargo Uni Gysr,198,14.9,222,15.9,2.8
